	MV_FEI1_t1Q14	MV_FEI2_t1Q14	MV_FEI3_t1Q14	MV_FEI4_t1Q14	MV_FEI4_t2Q15	MV_FEI5_t1Q14	MV_FEI5_t2Q14	MV_FEI5_t3Q15	MV_FEM1_t1Q14	MV_FEM2_t1Q14	MV_FEM3_t1Q14	MV_FEM4_t1Q14	MV_FEM4_t2Q15	MV_FEM5_t1Q14	MV_FEM5_t2Q14	MV_FEM5_t3Q15	MV_MIM1_t1M14	MV_MIM2_t1M14	MV_MIM3_t1M14	MV_MIM4_t1M14	MV_MIM4_t2F15	MV_MIM5_t1M14	MV_MIM5_t2M14	MV_MIM5_t3F15
UNMAPPED	0.194578	0.21917	0.332115	0.194578	0.21917	0.934129	0.141363	0.222323	0.21917	0.261508	0.261508	0.338311	0.921461	0.338311	0.210286	0.141363	0.253972	0.823974	0.338311	0.921461	0.0722592	0.0541484	0.145412	0.141363
UNGROUPED	0.6090286691222897	0.2831946599843414	0.7279643561060932	0.6090286691222897	0.0842870149499999	0.07491969292	0.7478304229656185	0.5194446768344163	0.7810373438016703	0.0221017578799999	0.2143265064368998	0.2013047314150922	0.0237965272	0.7478304229656185	0.7478304229656185	0.07491969292	0.3500831599422296	0.7024737267479324	0.4329450354118216	0.4329450354118216	0.0842870149499999	0.2143265064368998	0.2143265064368998	0.4421613364815936
1.1.1.1	0.000132493361	5.06919e-05	2.39863791e-05	0.0	0.0003771228	0.0	3.74666387e-05	0.0003006653877	8.762238680000001e-05	5.06919e-05	0.000387207543	5.515252e-05	0.0003006653877	4.4073559e-05	0.0004576320778	8.762238680000001e-05	0.0004576320778	0.0	3.74666387e-05	2.39863791e-05	1.5426156e-05	5.06919e-05	0.0003006653877	0.0003771228
1.1.1.100	4.930303e-06	0.0002033629637	5.536413500000001e-05	0.0	7.708840840000001e-05	0.00036235396	5.536413500000001e-05	0.000319437456	0.0003382396714	0.0002033629637	4.48029e-05	0.0001636041274999	8.284386700000001e-05	8.284386700000001e-05	0.0	3.71065932e-05	0.0	7.708840840000001e-05	0.0001768872719	0.0005556060367	0.0	0.000110636441	7.708840840000001e-05	0.0
1.1.1.103	0.0	0.0	0.0	0.0	9.37085e-06	0.0	4.885706699999999e-05	4.0842493e-05	6.483272200000001e-06	6.483272200000001e-06	0.0002073828903	0.0002073828903	0.0	2.846763800000001e-05	1.76735554e-05	1.057641e-06	1.057641e-06	2.846763800000001e-05	0.0	1.057641e-06	1.76735554e-05	3.71670151e-05	0.0	2.36703588e-05
1.1.1.107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.72394e-05	0.0	0.0	0.0	0.0	0.0
1.1.1.11	0.0	1.41212e-06	0.0	0.0	0.0	1.25009e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.026884e-07	0.0	0.0	0.0	0.0	0.0	0.0	1.41212e-06	1.026884e-07	1.026884e-07	1.70699e-06
1.1.1.121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.71194e-07	0.0	0.0
1.1.1.122	6.61268e-05	0.0	4.9177e-06	0.0	0.0	0.0	0.0	0.0	0.0	1.732707e-05	3.65717068e-05	0.0	0.0	3.8857464e-05	0.0	1.021035e-05	0.0	0.0	1.3926e-06	2.126631e-05	0.0	0.0	0.0	2.126631e-05
1.1.1.125	7.28009e-07	7.28009e-07	0.0	1.609336e-05	0.0	1.609336e-05	0.0	0.0	0.0	0.0	1.609336e-05	7.28009e-07	0.0	0.0	0.0	0.0	0.0	8.655299e-06	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.127	1.978046e-07	0.0	3.876868200000001e-05	0.0	0.0	0.0	3.876868200000001e-05	0.0001230739787	2.13090883e-05	0.0	0.0001230739787	0.0	3.2183111000000004e-05	1.978046e-07	3.2183111000000004e-05	0.0	0.0	0.0	0.0	0.0	0.0	5.7583197e-05	0.0	0.0
1.1.1.130	0.0	0.000136760793	0.0	0.0	0.0	0.0	2.4633474000000003e-05	0.0	1.0160008e-06	1.5477419e-06	0.0	8.71905e-07	1.0160008e-06	0.0	8.71905e-07	0.0	5.638271999999999e-05	0.0	8.71905e-07	1.5477419e-06	1.0160008e-06	2.9452329e-06	9.079519e-05	0.0
1.1.1.131	0.0	3.8274e-07	8.3933e-06	1.030385e-05	0.0	2.60829e-06	0.0	0.0	0.0	4.93601e-05	8.3933e-06	0.0	2.60829e-06	8.3933e-06	0.0	4.93601e-05	0.0	0.0	1.969592e-05	0.0	0.0	2.3272670000000003e-05	6.8818e-05	0.0
1.1.1.132	0.0	1.2140635e-06	0.0	9.0283743e-06	1.2140635e-06	2.56173e-06	1.339259e-05	0.0	1.6453e-06	1.6453e-06	2.56173e-06	1.2140635e-06	0.0	0.0	0.0	0.0	0.0	9.0283743e-06	1.339259e-05	0.0	0.0	0.0	0.0	8.05338e-07
1.1.1.133	0.0001221342798	5.985759e-05	0.0	0.00017229597	0.0	8.001694199999999e-05	0.0001221342798	0.0	0.0001952227569999	0.000136099803	0.0	0.0	0.000110996461	0.0	0.00017229597	5.985759e-05	8.001694199999999e-05	5.985759e-05	0.0	0.0	0.000158857415	0.000232066231	0.000298821858	0.0
1.1.1.137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.38562e-07	0.0	0.0	0.0	0.0	0.0
1.1.1.14	3.37592e-05	2.329131e-06	1.1736256e-05	2.329131e-06	2.329131e-06	0.000245847109	1.767873e-05	0.000245847109	1.1736256e-05	7.578766999999998e-06	3.37592e-05	2.60956955e-05	0.0	0.0	0.000245847109	2.6603991e-05	0.0	3.757216e-05	0.0	3.37592e-05	0.000171625162	3.485622690000001e-05	0.0	0.0
1.1.1.140	0.000149132642	2.2078949999999996e-05	2.78949149e-05	0.0	0.0001925163	2.2078949999999996e-05	0.0	7.188683e-07	0.0	0.0	1.3808398e-06	0.0	4.92757e-07	4.92757e-07	0.0	0.0001324549879999	0.000149132642	5.70215719e-05	0.0	1.3808398e-06	0.0	1.3808398e-06	4.92757e-07	0.0
1.1.1.149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.36971e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.154	0.0	0.0	0.000136890285	0.0	0.0	8.497930289999999e-05	3.183366e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.255442e-07	0.00015122519	0.0	3.4647086000000004e-05	0.000101535552	0.0	0.000136890285	0.000136890285	0.0
1.1.1.157	0.0	0.0	0.0	8.594331e-06	2.2546704e-05	0.0	0.0	8.594331e-06	8.594331e-06	7.2752652e-05	0.0	9.426858e-07	4.4279e-07	4.656192e-07	4.22522e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.2752652e-05	0.0
