	MV_FEI1_t1Q14	MV_FEI2_t1Q14	MV_FEI3_t1Q14	MV_FEI4_t1Q14	MV_FEI4_t2Q15	MV_FEI5_t1Q14	MV_FEI5_t2Q14	MV_FEI5_t3Q15	MV_FEM1_t1Q14	MV_FEM2_t1Q14	MV_FEM3_t1Q14	MV_FEM4_t1Q14	MV_FEM4_t2Q15	MV_FEM5_t1Q14	MV_FEM5_t2Q14	MV_FEM5_t3Q15	MV_MIM1_t1M14	MV_MIM2_t1M14	MV_MIM3_t1M14	MV_MIM4_t1M14	MV_MIM4_t2F15	MV_MIM5_t1M14	MV_MIM5_t2M14	MV_MIM5_t3F15
UNMAPPED	0.145412	0.86213	0.921461	0.21917	0.222323	0.0722592	0.145412	0.934129	0.338311	0.141363	0.141363	0.427536	0.155095	0.261508	0.231771	0.261508	0.934129	0.210286	0.921461	0.164093	0.145412	0.860103	0.913239	0.332115
UNGROUPED	0.02873800144	0.7862128700568267	0.07491969292	0.7862128700568267	0.0842870149499999	0.2013047314150922	0.0221017578799999	0.5194446768344163	0.3500831599422296	0.7478304229656185	0.5194446768344163	0.2831946599843414	0.02873800144	0.7862128700568267	0.0260825379	0.7024737267479324	0.4421613364815936	0.0221017578799999	0.7810373438016703	0.6090286691222897	0.5194446768344163	0.0256637178	0.5440470551333159	0.0221017578799999
1.1.1.1	4.4073559e-05	0.000132493361	0.0	0.0	0.0	3.74666387e-05	5.515252e-05	0.0003260712407999	0.0002747154246	0.0	1.5426156e-05	0.0002747154246	3.74666387e-05	3.74666387e-05	0.0002747154246	0.0	4.4073559e-05	0.0002747154246	0.000387207543	0.0	0.0	0.0003167207126999	8.0007801e-05	0.0
1.1.1.100	0.0003382396714	5.536413500000001e-05	4.48029e-05	0.0001768872719	4.5850767e-05	0.0	0.0	0.0	0.0	0.0005556060367	5.536413500000001e-05	0.0	0.000110636441	4.5850767e-05	0.0	0.000319437456	4.48029e-05	8.284386700000001e-05	4.48029e-05	0.0005556060367	8.992221000000001e-05	7.708840840000001e-05	0.00036235396	0.000319437456
1.1.1.103	4.0842493e-05	4.0842493e-05	0.0002583862269999	0.0	0.0	0.0002583862269999	0.0	0.0	0.0	0.0	0.0	3.71670151e-05	1.76735554e-05	0.0002073828903	2.66388e-06	0.0003184911903	0.0	1.057641e-06	1.5437099e-05	0.0	0.0002583862269999	0.0003184911903	0.0	4.885706699999999e-05
1.1.1.107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.11	0.0	0.0	0.0	1.026884e-07	1.026884e-07	0.0	0.0	0.0	0.0	0.0	1.026884e-07	1.25009e-05	0.0	0.0	1.70699e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.121	0.0	4.56587e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.71194e-07	1.71194e-07	0.0	0.0	0.0	0.0	0.0	4.56587e-06	4.56587e-06	0.0	0.0	0.0	0.0	0.0
1.1.1.122	6.61268e-05	0.0	6.61268e-05	0.0	1.021035e-05	3.65717068e-05	6.61268e-05	0.0	0.0	0.0	1.3926e-06	0.0	3.65717068e-05	3.65717068e-05	2.07817e-06	0.0	0.0	6.39393e-06	1.3926e-06	4.9177e-06	6.39393e-06	1.021035e-05	7.61323e-06	6.61268e-05
1.1.1.125	0.0	0.0	0.0	7.28009e-07	0.0	1.609336e-05	0.0	0.0	8.655299e-06	6.4761451e-05	0.0	0.0	0.0	0.0	7.75882e-06	0.0	7.75882e-06	0.0	7.28009e-07	0.0	6.4761451e-05	0.0	4.342681e-06	0.0
1.1.1.127	0.0	0.0	0.0	2.3315851999999995e-06	0.0001230739787	0.0	0.0	5.7583197e-05	0.0	0.000138693554	0.0	1.978046e-07	0.000166963884	0.0	0.0	0.0	0.000166963884	2.3315851999999995e-06	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.130	2.4633474000000003e-05	0.0	8.183072000000001e-06	5.638271999999999e-05	0.0	0.0	0.0	2.9452329e-06	0.0	9.079519e-05	0.0	0.0	2.4633474000000003e-05	0.0	5.638271999999999e-05	0.0	9.079519e-05	0.0	0.0	0.0	0.0	8.71905e-07	8.183072000000001e-06	0.0
1.1.1.131	6.8818e-05	2.3272670000000003e-05	0.0	1.969592e-05	8.3933e-06	2.60829e-06	4.93601e-05	2.3272670000000003e-05	0.0	1.969592e-05	0.0	6.8818e-05	1.448203e-05	0.0	3.770836e-05	0.0	0.0	0.0	0.0	3.8274e-07	2.60829e-06	0.0	6.8818e-05	0.0
1.1.1.132	0.0	0.0	1.2140635e-06	0.0	1.6453e-06	1.6453e-06	0.0	0.0	4.4812660000000003e-07	0.0	9.244419e-06	0.0	6.221312699999999e-05	4.4812660000000003e-07	9.244419e-06	0.0	0.0	1.339259e-05	9.244419e-06	0.0	0.0	0.0	6.02572e-08	0.0
1.1.1.133	0.0	0.0001221342798	0.0	0.000178002124	8.001694199999999e-05	0.000232066231	0.0	0.0	0.0	0.0001221342798	0.000158857415	3.9943157e-05	0.0	0.000110996461	3.9943157e-05	0.0	0.000110996461	0.000110996461	0.000158857415	0.000212182793	8.001694199999999e-05	0.00017229597	0.000178002124	0.000178002124
1.1.1.137	0.0	0.0	0.0	0.0	1.38562e-07	0.0	0.0	0.0	0.0	1.38562e-07	0.0	0.0	0.0	0.0	0.0	1.38562e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.14	0.0	2.6603991e-05	3.757216e-05	0.0	1.1736256e-05	7.578766999999998e-06	3.485622690000001e-05	0.000245847109	2.60956955e-05	0.000245847109	0.0	0.0	1.1736256e-05	0.0001294221199	0.000245847109	2.60956955e-05	3.757216e-05	2.6603991e-05	3.757216e-05	1.767873e-05	1.1736256e-05	0.0	7.578766999999998e-06	0.000171625162
1.1.1.140	0.0	0.0	0.0	2.232416e-06	0.0	0.0001925163	7.372011000000001e-07	0.0	0.0	2.78949149e-05	8.26804e-06	0.0001925163	0.0	0.0	0.0	0.0	0.000149132642	7.188683e-07	0.0	0.0	1.3808398e-06	0.0001925163	0.0001324549879999	7.188683e-07
1.1.1.149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.36971e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.154	7.85743e-07	0.00015122519	0.0	0.0	0.000136890285	8.497930289999999e-05	0.000101535552	2.286242e-06	3.58538e-07	3.183366e-06	0.000136890285	0.0	0.0	0.0	0.0	5.255442e-07	0.0	0.0	0.0	0.00015122519	3.183366e-06	0.0	0.0	0.0
1.1.1.157	0.0	0.0	1.44192e-06	0.0	0.0	0.0	0.0	4.656192e-07	0.0	5.71207e-07	9.426858e-07	0.0	9.426858e-07	0.0	5.71207e-07	0.0	0.0	4.656192e-07	0.0	2.2546704e-05	0.0	4.4279e-07	0.0	5.71207e-07
1.1.1.159	0.0	0.0	9.95168e-07	0.0	1.25855577e-05	0.0	0.0	0.0	0.0	1.977775e-05	2.05996e-07	0.0	2.9325767e-06	3.459214e-05	0.0	2.49512e-06	9.53495e-06	9.84714e-06	0.00010079902	1.6297494999999997e-05	9.95168e-07	9.53495e-06	0.0	3.459214e-05
1.1.1.163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.17985e-06	0.0	2.17985e-06	0.0	0.0
1.1.1.169	0.0001294672235	0.000132836293	0.000132836293	0.0	2.293312e-05	0.0	2.6422052799999997e-05	0.0	3.6422339e-05	3.6422339e-05	2.6422052799999997e-05	9.2971239e-05	1.7765874999999997e-05	2.6422052799999997e-05	0.0	0.0	3.6422339e-05	5.866732e-06	0.0	0.0	8.188261999999999e-05	8.188261999999999e-05	0.0001273168416	5.7009669999999995e-05
1.1.1.17	6.39047e-07	0.0	0.0	8.75886e-07	0.0	2.4105693e-05	9.3291704e-05	0.0	9.546485e-07	0.0	0.0	9.3291704e-05	3.2795009800000004e-05	3.2795009800000004e-05	3.046396e-05	5.648336999999999e-06	3.2795009800000004e-05	0.0	3.2795009800000004e-05	0.0	2.4105693e-05	0.0	3.2795009800000004e-05	3.2795009800000004e-05
1.1.1.179	0.0	0.0	0.0	1.30122e-06	0.0	0.0	1.60322e-06	1.37216e-05	0.0	1.30122e-06	0.0	0.0	5.3841e-07	0.0	0.0	0.0	1.30122e-06	0.0	5.3841e-07	1.5540399999999998e-05	0.0	3.995657e-05	0.0	0.0
1.1.1.18	6.5856e-06	0.0	1.049651e-05	4.632009e-05	5.49091e-07	0.0	0.0	0.0	0.0	5.49091e-07	0.0	0.0	2.2083561e-05	2.68833e-06	2.2083561e-05	2.2083561e-05	0.0	5.49091e-07	1.20119274e-05	4.6630427e-05	5.53244e-06	3.9903413e-05	5.53244e-06	4.6630427e-05
1.1.1.188	0.0	0.0	0.0	0.0	0.0	0.0	8.63153e-05	0.0	0.0	0.0	0.0	0.0	0.0	4.42822e-06	0.0	4.42822e-06	0.0	2.64375e-06	2.64375e-06	0.0	0.0	0.0	1.61974e-05	0.0
1.1.1.193	3.99929e-06	0.0	0.0	7.955432699999999e-05	3.3260041e-05	4.465123e-05	3.99929e-06	0.0	8.5733241e-05	0.0	2.4121052e-05	5.75798e-05	2.4121052e-05	0.0	0.00012978939	6.443797899999998e-05	8.74449e-05	3.3260041e-05	7.955432699999999e-05	7.955432699999999e-05	1.0315103e-05	6.443797899999998e-05	0.0	0.0
1.1.1.2	0.00011908	0.0	1.0840765e-05	3.61079e-05	0.0	2.1080926e-05	0.0	2.1080926e-05	2.1080926e-05	6.8716495e-05	0.0	5.8943104999999995e-05	0.0	5.5782021e-06	0.00011908	0.0	0.0	4.34161e-05	0.0	0.00011908	1.09306e-05	1.0840765e-05	2.61907e-06	8.959909999999999e-07
1.1.1.201	0.0	0.0	0.0	0.0	0.0	0.0	1.20317e-06	0.0	0.0	3.02399e-07	2.13728e-06	2.13728e-06	0.0	0.0	0.0	0.0	0.0	3.02399e-07	1.20317e-06	0.0	0.0	0.0	0.0	0.0
1.1.1.202	3.04265e-07	0.0	0.0	0.0	0.0	0.0	7.21757e-07	2.1579753e-05	3.04265e-07	3.04265e-07	0.0	0.0	0.0	0.0	2.1579753e-05	0.0	2.1579753e-05	2.1579753e-05	3.04265e-07	4.094754e-07	7.21757e-07	1.72056e-06	1.72056e-06	0.0
1.1.1.205	0.0001974221356999	0.0	0.0	0.0	0.0	9.40568435e-05	0.0001649678862	0.000306206673	0.0001534111911	0.0	9.40568435e-05	0.00018931451	0.0	0.0002691393515999	0.0	0.0001724125399999	0.00018931451	0.0001724125399999	0.0	0.00016259255	0.000292935388	0.0002160322629999	0.000196569973	0.000196569973
1.1.1.21	0.0	0.0	0.0	6.12036e-07	0.0	0.0	0.0	0.0	0.0	0.0	6.12036e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.218	0.0	0.0	0.0	8.25106e-07	9.18206e-07	0.0	1.03288e-06	9.18206e-07	0.0	0.0	0.0	0.0	2.673577e-06	0.0	6.97446e-07	1.5056521e-05	0.0	2.673577e-06	0.0	0.0	1.03288e-06	2.673577e-06	3.2472233e-06	0.0
1.1.1.22	9.60348735e-05	0.0	0.0	0.0	0.0	8.130588e-06	0.0001752326192	0.000281658993	0.0	6.986164619999999e-05	9.591134679999996e-05	0.0001298950511	4.7169942e-05	9.591134679999996e-05	0.0001752326192	0.0	0.0	0.0001746400159999	0.0	9.591134679999996e-05	8.75732e-06	0.0	0.000281658993	0.0001752326192
1.1.1.23	0.000173276995	0.000260027769	0.0	0.0	0.000243322124	0.0	0.0001906652139	1.3093099e-05	0.000113985387	8.590843000000002e-05	0.0	0.0	0.000230414963	0.000243322124	0.0001023230316	0.0	0.0	0.0001023230316	0.000260027769	0.000113985387	0.000230414963	0.0001030949378	0.0	0.0002878649669999
1.1.1.237	0.0	0.0	1.44181e-06	1.44181e-06	0.0	0.0	0.0	2.23866e-07	0.0	0.0	4.93818e-06	0.0	0.0	6.04173e-07	0.0	0.0	0.0	0.0	8.26071e-08	6.04173e-07	1.44181e-06	0.0	0.0	0.0
1.1.1.244	0.0	0.0	3.6269e-05	0.0	0.0	3.6269e-05	0.0	0.0	7.11238e-06	0.0	0.0	0.0	3.6269e-05	0.0	7.11238e-06	0.0	3.6269e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.25	0.0	2.4767354e-05	0.000163538885	0.000187153911	1.589977e-05	0.000187153911	0.000187153911	0.000123883961	0.000163538885	5.633669200000001e-05	7.812431799999999e-05	0.0001561210561999	0.0	8.1945746e-05	0.00014463616	0.0	1.8935349e-05	1.8935349e-05	0.000187153911	2.4767354e-05	0.000123883961	0.0	8.1945746e-05	0.0
1.1.1.251	0.0	6.212523e-06	8.467711199999999e-05	0.0	5.012912e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.39778256e-05	0.0	0.0	0.0	0.0	2.39778256e-05	1.4007276e-05	0.0	0.0
1.1.1.262	0.0	2.1611468e-05	5.314865e-05	1.1744644e-05	6.5449682000000016e-06	2.1611468e-05	2.1611468e-05	2.1611468e-05	2.246012e-05	1.703072e-05	2.246012e-05	0.0	4.804718e-05	0.0	0.0	6.684791699999999e-05	0.0001481296432	6.684791699999999e-05	0.0	1.703072e-05	0.0001218188509999	5.314865e-05	0.0	0.0001481296432
1.1.1.264	0.0	7.011332e-06	5.7794e-07	0.0	5.7794e-07	2.072707e-06	0.0	4.81996e-08	4.61349e-06	8.380218000000001e-05	4.296506e-05	1.047392e-06	0.0	4.72668e-06	0.0	0.0	0.0	0.0	7.011332e-06	0.0	4.81996e-08	0.0	1.047392e-06	4.61349e-06
1.1.1.267	0.0001509956675	3.6864325e-05	0.000153065058	0.00021733001	0.0	0.000153065058	2.3355543999999997e-05	0.0001775112209999	0.0	0.000251644586	0.0	0.000200356296	2.07442e-05	0.0001509956675	0.0001509956675	0.000153065058	0.0	0.000121913312	0.0	0.0002645483549999	0.00015332299	6.468419e-05	3.6864325e-05	0.0
1.1.1.268	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
