	MV_FEI1_t1Q14	MV_FEI2_t1Q14	MV_FEI3_t1Q14	MV_FEI4_t1Q14	MV_FEI4_t2Q15	MV_FEI5_t1Q14	MV_FEI5_t2Q14	MV_FEI5_t3Q15	MV_FEM1_t1Q14	MV_FEM2_t1Q14	MV_FEM3_t1Q14	MV_FEM4_t1Q14	MV_FEM4_t2Q15	MV_FEM5_t1Q14	MV_FEM5_t2Q14	MV_FEM5_t3Q15	MV_MIM1_t1M14	MV_MIM2_t1M14	MV_MIM3_t1M14	MV_MIM4_t1M14	MV_MIM4_t2F15	MV_MIM5_t1M14	MV_MIM5_t2M14	MV_MIM5_t3F15
UNMAPPED	0.253972	0.921461	0.892195	0.823974	0.338311	0.164093	0.427536	0.261508	0.222323	0.86213	0.913239	0.0722592	0.0722592	0.427536	0.427536	0.913239	0.155095	0.934129	0.338311	0.892195	0.0722592	0.222323	0.231771	0.210286
UNGROUPED	0.6783373195572385	0.7024737267479324	0.0842870149499999	0.6783373195572385	0.2831946599843414	0.7478304229656185	0.6090286691222897	0.2143265064368998	0.07491969292	0.7810373438016703	0.5194446768344163	0.7810373438016703	0.7024737267479324	0.0221017578799999	0.0221017578799999	0.1702741978456207	0.2831946599843414	0.6783373195572385	0.7024737267479324	0.0221017578799999	0.7279643561060932	0.2831946599843414	0.7810373438016703	0.0842870149499999
1.1.1.1	3.74666387e-05	5.515252e-05	0.0004576320778	5.515252e-05	0.000387207543	0.000132493361	0.0	0.0	4.4073559e-05	0.0003260712407999	0.0	0.0	0.0003771228	0.0	0.0003167207126999	0.0	0.0003006653877	0.0002747154246	0.0	0.0003260712407999	0.0002218439679	0.0003260712407999	0.000387207543	5.515252e-05
1.1.1.100	4.48029e-05	3.71065932e-05	7.708840840000001e-05	0.0	0.0	5.536413500000001e-05	0.0004611760079999	8.284386700000001e-05	0.0002033629637	4.5850767e-05	8.284386700000001e-05	0.000110636441	0.0001768872719	3.71065932e-05	0.0	0.0001636041274999	0.0	0.00036235396	0.0	8.992221000000001e-05	0.00036235396	0.000319437456	0.0	5.536413500000001e-05
1.1.1.103	4.0842493e-05	3.71670151e-05	2.846763800000001e-05	2.36703588e-05	0.0	0.0	0.0	4.0842493e-05	3.2324149000000005e-05	0.0002073828903	3.71670151e-05	1.76735554e-05	0.0	1.057641e-06	3.2324149000000005e-05	0.0	3.71670151e-05	1.5437099e-05	1.057641e-06	1.0078373e-05	0.0	0.0003184911903	0.0	0.0002073828903
1.1.1.107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.11	0.0	0.0	0.0	0.0	0.0	1.25009e-05	0.0	1.70699e-06	0.0	0.0	0.0	0.0	0.0	0.0	1.41212e-06	0.0	1.026884e-07	0.0	0.0	0.0	0.0	1.026884e-07	1.026884e-07	0.0
1.1.1.121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.71194e-07	0.0	0.0	0.0	0.0	4.56587e-06	0.0
1.1.1.122	6.39393e-06	2.07817e-06	0.0	0.0	2.126631e-05	0.0	0.0	0.0	0.0	3.8857464e-05	0.0	7.61323e-06	3.65717068e-05	0.0	7.61323e-06	0.0	0.0	3.65717068e-05	4.9177e-06	0.0	0.0	0.0	0.0	2.126631e-05
1.1.1.125	0.0	7.75882e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.342681e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.342681e-06	0.0	0.0
1.1.1.127	0.0	0.0	5.7583197e-05	2.13090883e-05	0.0	0.000166963884	0.0	0.0	0.0	0.0001230739787	3.876868200000001e-05	0.0	0.0	0.0	3.876868200000001e-05	1.978046e-07	0.0001230739787	0.0	0.0	1.0453458e-06	0.0	0.0	0.0	0.0
1.1.1.130	0.0	0.0	0.0	0.0	2.9452329e-06	1.0160008e-06	0.0	0.0	8.71905e-07	1.17179e-06	6.520482e-07	0.0	6.520482e-07	2.3594257e-05	9.079519e-05	0.0	0.0	2.4633474000000003e-05	1.5477419e-06	0.0	1.0160008e-06	0.0	0.0	0.0
1.1.1.131	2.3272670000000003e-05	8.3933e-06	0.0	0.0	0.0	3.770836e-05	1.969592e-05	1.448203e-05	1.030385e-05	0.0	0.0	0.0	0.0	2.3272670000000003e-05	0.0	0.0	0.0	1.448203e-05	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.132	0.0	0.0	5.65924e-08	1.339259e-05	5.65924e-08	2.75197e-06	0.0	0.0	4.4812660000000003e-07	1.339259e-05	0.0	0.0	8.05338e-07	5.65924e-08	4.4812660000000003e-07	2.75197e-06	9.244419e-06	0.0	0.0	1.6453e-06	8.05338e-07	0.0	0.0	0.0
